mean	se_mean	Low	Median	High	Mismatch	Position
0.502797166159398	0.0032223336199427	0.0271167909477097	0.502274084090939	0.973494362917772	dT:rC	20
0.431593901456727	0.000121621279466555	0.410148641018791	0.431473458025011	0.452946401208847	dT:rG	20
0.497670362227842	0.00322756922524378	0.0238238854635866	0.500166201075167	0.975225906509451	dT:rU	20
0.497388309098091	0.0031828657639228	0.0254024477113063	0.497176934740284	0.971594882592445	dG:rA	20
0.138359170965798	0.000111642482683127	0.118835511250442	0.138250506018691	0.157950786360795	dG:rG	20
0.502090485580285	0.00329362626938679	0.0224978942000003	0.502839144074581	0.977250516040638	dG:rU	20
0.497158240884548	0.00317926497216398	0.0276710808268149	0.496326810012695	0.968376476333683	dC:rA	20
0.501862396727629	0.00321218736053056	0.0261183086837603	0.503981802374692	0.972445269938985	dC:rC	20
0.497235032466324	0.00319870650996125	0.0261300533519563	0.497163869359732	0.976158702116807	dC:rU	20
0.498351765022533	0.00320223833216482	0.0261666528054085	0.503252753232772	0.967855074834779	dA:rA	20
0.500948540779436	0.003202340169012	0.025829605002214	0.50231297760465	0.971402122236574	dA:rC	20
0.452529894430043	0.000118259106971758	0.432038580111499	0.452636172258354	0.47340786364612	dA:rG	20
0.0977291667491184	0.000152055076290378	0.0713970044448855	0.0977040538011836	0.12390955622375	dT:rC	19
0.328485572578048	0.000244718139760259	0.286667923297836	0.328555498602745	0.370791812854781	dT:rG	19
0.488719976462559	0.000378546471061754	0.423542503854657	0.488168176686088	0.556585235026496	dT:rU	19
0.129583514731159	0.000226545019138404	0.0907710505196779	0.129635958287442	0.1701478178249	dG:rA	19
0.157125016021345	0.000311051344639121	0.101915161802688	0.156705904662198	0.212620412127879	dG:rG	19
0.0778948190516678	0.000366248597795159	0.0154884841302677	0.0775962932402112	0.143239014342881	dG:rU	19
0.27701118140662	0.000246036495470276	0.234526347535591	0.27708471806933	0.321018887093779	dC:rA	19
0.0641470475127733	0.000152586684736988	0.0375215789166677	0.0639969116744579	0.0914003450787523	dC:rC	19
0.0793287713895563	0.000285727240876882	0.0289996062150108	0.0790600820865562	0.129141679566258	dC:rU	19
0.224494686161118	0.00023268211509866	0.183967939992042	0.224395495534117	0.265019304460017	dA:rA	19
0.195475371806489	0.000148529580140583	0.169830855110954	0.195310811498205	0.221398056662609	dA:rC	19
0.0589723647164599	0.000276815319976979	0.0111865813882911	0.0590255813134998	0.108946646614224	dA:rG	19
0.0475208111365404	0.000144357304906916	0.0220989457783771	0.0475987683481676	0.0726041026636037	dT:rC	18
0.219555315065291	0.000569895487373034	0.119405471550926	0.219421340966501	0.319568407719895	dT:rG	18
0.324205389906656	0.000364537890521894	0.260846694707812	0.324262250713374	0.388771085752733	dT:rU	18
0.0231002265283884	0.000160647937539899	0.00136431365182159	0.0214694750423294	0.0546045178147305	dG:rA	18
0.120889828504855	0.000563127562364182	0.0260933057596791	0.120104974716623	0.220672344700574	dG:rG	18
0.0629871873173484	0.00043371981075982	0.00423798540937399	0.0585246330920878	0.148411273383069	dG:rU	18
0.0376430001654949	0.000187946080950296	0.00660049055555211	0.0372339869198706	0.071190764919519	dC:rA	18
0.0210875294346937	0.000132075889247055	0.00185493818387298	0.0201060710540339	0.0460085546211003	dC:rC	18
0.0548246763765453	0.000428516159850864	0.00298072236913104	0.0481472153303989	0.143358858649648	dC:rU	18
0.0195539255682171	0.000149066541671938	0.0009170016910471	0.0175765701907613	0.0500034522239528	dA:rA	18
0.0278262077324289	0.000142203462362483	0.00394997814542899	0.0276425347724834	0.0533414958156618	dA:rC	18
0.056092410834241	0.000442791493294208	0.00261831800121122	0.0490896618198208	0.149581807688963	dA:rG	18
0.0565896361036888	0.000355333026839151	0.00405994525001907	0.0543003546554591	0.124265658430241	dT:rC	17
0.307995557093956	0.000290553321949566	0.257683372565904	0.307374787056647	0.359226022169508	dT:rG	17
0.124737565928317	0.000138698814707865	0.100502958592303	0.124714962243808	0.149251026208536	dT:rU	17
0.101815924600502	0.000694464652067386	0.00717777146401835	0.0950228551676382	0.236730418799196	dG:rA	17
0.0901585620264398	0.000351416630658188	0.0290320053788903	0.0897703290878249	0.152587634719931	dG:rG	17
0.584641722094825	0.000154363873751456	0.557860513954855	0.58458942784877	0.611890223434842	dG:rU	17
0.241530514400617	0.000899758003815724	0.0857116421709741	0.241338861384401	0.399893911195181	dC:rA	17
0.0342744218140392	0.000276121950648652	0.0013315872522772	0.029465144559774	0.0940987432735468	dC:rC	17
0.255777272699588	0.000152368966450258	0.229725820045473	0.255620656121709	0.28252880565363	dC:rU	17
0.0647228881734178	0.000542849486573341	0.00260485249995373	0.0548234078776099	0.179247745328124	dA:rA	17
0.0589101615522356	0.00032123963391476	0.00744268759943492	0.0578000790972082	0.118737405722879	dA:rC	17
0.0366755896425519	0.000235171464321644	0.00246298398345033	0.0347791647642732	0.0816515464348676	dA:rG	17
0.0360993450019366	0.000118938699337177	0.0151392294163891	0.0361141196782728	0.0568771111863657	dT:rC	16
0.314840261683266	0.00058870576525032	0.212817905682846	0.314432049304524	0.418216824498246	dT:rG	16
0.0456921028989657	0.000314624378927856	0.00301996468388483	0.042749315982561	0.107888851154192	dT:rU	16
0.0492705242694819	0.000361408332438681	0.00285233029990586	0.0444689930595388	0.122261995837926	dG:rA	16
0.0477921541278546	0.000386485033064866	0.00200253476388643	0.0415941081839939	0.126975760787324	dG:rG	16
0.12852667392762	0.000361938242623356	0.0647059417617466	0.128288054803867	0.19273321683019	dG:rU	16
0.103298907548877	0.000499101333294707	0.0188350030180451	0.102315903817055	0.194207498088583	dC:rA	16
0.0235976428791468	0.000118805829174622	0.00357819228589973	0.023286745215719	0.0450827796813287	dC:rC	16
0.0325292024283841	0.000270777317415443	0.00134578381543843	0.0280413886701402	0.0900972667789508	dC:rU	16
0.0477427678671598	0.000378528024522114	0.00233133457602509	0.0423287921888398	0.125795887559651	dA:rA	16
0.013758122867873	9.47028528683858e-05	0.000893456096947809	0.0129321251378682	0.0321054934247724	dA:rC	16
0.0506238427642962	0.000392224600829809	0.00224971465297583	0.0448590693075339	0.133244508223173	dA:rG	16
0.0538148046220542	0.000189330962344725	0.021277756234127	0.0535969578009322	0.0870016783354407	dT:rC	15
0.292379446711772	0.000359965811627538	0.228903005890105	0.292157966863321	0.355158220663724	dT:rG	15
0.0932618918353835	0.000730781753795314	0.00454559418037549	0.0819008864798595	0.244215768625827	dT:rU	15
0.211550357077131	0.000230083893203487	0.170800948578401	0.211623936875503	0.252407464738353	dG:rA	15
0.158277192389813	0.000356672255682706	0.0963073256572441	0.158200058293577	0.220163647882757	dG:rG	15
0.571967924784924	0.00140426518059571	0.36113213370982	0.567597007504102	0.800610026025037	dG:rU	15
0.149841267298806	0.000225985139208139	0.1104226923599	0.149849281049542	0.189674164040089	dC:rA	15
0.0182614914923669	0.000122777471113041	0.00129303337945279	0.017121464982443	0.0418931003427892	dC:rC	15
0.0876098795136102	0.000703764713718791	0.00396090255721689	0.0768653049178079	0.234250401576124	dC:rU	15
0.0570671408382504	0.000235939255081077	0.0161298190695075	0.0569072769614623	0.0993091515084431	dA:rA	15
0.385282572178935	0.000160601333488874	0.356639206554794	0.38536252373653	0.413590291279987	dA:rC	15
0.0360961636080056	0.000254250202099853	0.00233210449093665	0.0332535636039767	0.0867153065701011	dA:rG	15
0.0157843765417783	0.000107303662273615	0.00115396265364136	0.0146548317988975	0.0368791216269232	dT:rC	14
